THREAD; AVERAGE-REPETITIONS; MIN-REPETITIONS; MAX-REPETITIONS (nanoseconds)
1;3928521;3260883;8528039
2;2992815;2383096;7980653
3;3067975;2444207;8866124
4;3141217;2422888;9091831
5;3113434;2432471;8780870
6;3217228;2448394;9487412
7;3258102;2457572;9747987
8;3285228;2455731;9516528
9;3207134;2446140;9837146
10;3252491;2442304;9810688
11;3157800;2442394;10112600
12;3106875;2432839;9901953
13;3207476;2453194;9811118
14;3249853;2471311;10167214
15;3258217;2473085;10116062
16;3291510;2482178;10351541
17;3330403;2470093;10327686
18;3309167;2485802;10544991
19;3328698;2490875;10179176
20;3386604;2513841;10649267
21;3389058;2484030;10752769
22;3417289;2481321;11339966
23;3417160;2497317;10627638
24;3444896;2496292;11280777
25;3457497;2514076;11567073
26;3468125;2512173;11392182
27;3462442;2510550;11260509
28;3524593;2530782;11332697
29;3496012;2532799;11436104
30;3472495;2517495;11627471
31;3428332;2510922;10795293
32;3470439;2534824;11611358
33;3488184;2529486;11506001
34;3480207;2543323;11582690
35;3467143;2524644;10990723
36;3516400;2577492;11904144
37;3468189;2594871;11486510
38;3546219;2580900;12070472
39;3522962;2554045;11603159
40;3540684;2565686;11950437
41;3532017;2559015;11935435
42;3522342;2584040;11982101
43;3510775;2564186;12086566
44;3517892;2599187;11790682
45;3540927;2596089;12422813
46;3572311;2609524;13215243
47;3527052;2589362;12426160
48;3521070;2566370;12478147
49;3525857;2596355;12791575
50;3522477;2555648;12771307


THREAD; REPETITION; AVERAGE; MIN; MAX (nanoseconds)
1;1;3742619;3315506;7778223
1;2;3938961;3328007;9172394
1;3;4553253;3326610;7410439
1;4;4850902;3363207;8035309
1;5;3930910;3147747;7440332
1;6;3877852;3320953;9780083
1;7;3765023;3177988;9018394
1;8;3720608;3118413;10666230
1;9;3756700;3160248;9476833
1;10;3821066;3313899;7917626
1;11;3692609;3101442;9946306
1;12;3930065;3292597;9431925
1;13;3956195;3306007;7672134
1;14;4032321;3137131;9953989
1;15;3900279;3343512;8595575
1;16;4145743;3212769;7522534
1;17;4039383;3335131;7521417
1;18;3846475;3352242;7650763
1;19;3900413;3324445;8434033
1;20;3883107;3383950;7543137
1;21;3827702;3173308;8623652
1;22;3853643;3328426;7496763
1;23;3763002;3298883;8570502
1;24;3732830;3168699;8570224
1;25;3751387;3190978;8972160


THREAD; REPETITION; AVERAGE; MIN; MAX (nanoseconds)
2;1;2892328;2362381;7045029
2;2;2941705;2463442;9232528
2;3;2801559;2371809;8314884
2;4;3023770;2346457;6924343
2;5;3060434;2425378;8448979
2;6;2852199;2397372;7027010
2;7;2837892;2428521;7498858
2;8;2940331;2405962;8102775
2;9;2894980;2366013;6433639
2;10;3049569;2374813;7558503
2;11;3034255;2400305;6505855
2;12;3114095;2487188;7412046
2;13;3103829;2396883;6983569
2;14;3200474;2350578;7893880
2;15;3117094;2384731;9145576
2;16;2953929;2361753;9459512
2;17;3095677;2392832;8303011
2;18;3012285;2405822;7656280
2;19;2916009;2394857;8169544
2;20;2883176;2173390;8332413
2;21;2931978;2394229;6709023
