THREAD; AVERAGE-REPETITIONS; MIN-REPETITIONS; MAX-REPETITIONS (nanoseconds)
1;23288836674;1562463352;47317988761
2;5726237554;411694072;22892946488
3;845485691;2841640;1167645650
4;698608950;2522907;870584621
5;606957415;2412063;783681967
6;578309607;2291305;721024099
7;488294232;2285572;661364603
8;456306938;2299728;663223487
9;494273668;2279879;647940442
10;460625152;2308963;642486737
11;462099509;2358132;629747300
12;379138195;2426165;629882683
13;358285909;2476099;607075362
14;355797600;2506405;610186526
15;351826083;2581098;586472504
16;345650065;2687257;576533713
17;350527279;2736252;581544503
18;348193418;2857645;563376172
19;347486786;2948279;580989701
20;347600292;2978886;590617106
21;345458238;3164812;564703986
22;342047902;3253092;575873020
23;337960757;3264909;588661695
24;337968063;3425326;606143694
25;346543386;3503255;558242349
26;348451142;3716975;588669551
27;349960089;3797038;583044339
28;351222185;3940534;599336750
29;358860597;4128745;587351744
30;361036106;4415969;601800868
31;355952622;4496166;574916557
32;356834072;4603417;600392309
33;359064669;4759526;601891282
34;356074930;4673018;584474943
35;354635100;5197990;593953038
36;356434532;5596870;584711531
37;355031176;5527543;587013128
38;354661454;5513295;596575824
39;353045246;5376688;592200950
40;352576382;5819457;580272087
41;353297327;6096981;580738563
42;353096376;5713471;598119886
43;354108477;5728610;586066131
44;356185560;5568621;573756983
45;353966077;5766070;600547675
46;355377818;6367275;582766776
47;352956097;6240452;587566852
48;356032950;5807190;593638775
49;351737639;6542057;592799769
50;353586177;6277367;589847438
THREAD; REPETITION; AVERAGE; MIN; MAX (nanoseconds)
1;1;23426824824;4029652581;46839694640
1;2;24120872218;1302982363;49269168916
1;3;23637837648;351448298;50320404479
1;4;22792294770;350362127;47527091921
1;5;22692524985;349510063;47361370859
1;6;22741563749;336093973;47995620044
1;7;24324147378;4008360630;53016484078
1;8;25286626131;1082264925;49107230179
1;9;22745801827;4105109658;45258781354
1;10;22692216738;1091037339;45609086281
1;11;23099061420;335511916;45276289165
1;12;24381443885;349708133;49147948621
1;13;22779997579;5522439793;44650408362
1;14;22621903731;350135213;47080689585
1;15;21807923616;332885674;43612409188
1;16;24054390837;3356316236;48392496602
1;17;22420028129;336174569;44295040012
1;18;23072491434;349902431;46805985258
1;19;22222768107;333565509;46281724703
1;20;22421190849;335939834;44632445744
1;21;24187944056;2136709903;49868050828
1;22;25506763610;4341791694;49428467165
1;23;23843648170;336108150;48928003280
1;24;22144311995;347863416;43831878423
1;25;23196339185;3289709377;48412949341


THREAD; REPETITION; AVERAGE; MIN; MAX (nanoseconds)
2;1;6140194705;10752135;28799278260
2;2;5422683964;171215127;22705322604
2;3;5075425857;177928899;19597716679
2;4;4951259503;194761695;17001450603
2;5;5404515951;1083249756;16577399293
2;6;6543582929;807622896;32638249554
2;7;6430257560;1169340866;28501878940
2;8;5363578751;13348414;19073865813
2;9;5473575402;277503705;18679728568
2;10;5678566928;980263902;21029312734
2;11;7236053484;187625872;30784636734
2;12;5433128697;210997278;21629605718
2;13;5503739970;740731154;25584202601
2;14;5252749029;178659089;19110733278
2;15;4893194620;168112498;15729920073
2;16;7928265665;11743671;36048866545
2;17;5791920760;614474884;22802370483
2;18;5914993698;193124545;23793781821
2;19;5299785644;222943349;17720352237
2;20;5967003970;1238619433;28434211401
2;21;5436418289;210848585;23654211429
2;22;5473991233;179695604;20506834598
2;23;5280611593;192132100;17474604244
2;24;5504832499;275642365;23760201436
2;25;5755608150;781013998;20684926576


THREAD; REPETITION; AVERAGE; MIN; MAX (nanoseconds)
3;1;844695853;2820191;1074437952
3;2;864028550;2839397;1724529375
3;3;832375561;2800636;947378857
3;4;855061675;2730794;989558729
3;5;837229529;2876762;959096268
3;6;840347668;2779822;1802332489
3;7;831581375;2890591;984755535
3;8;848494513;2883886;974122061
3;9;823292283;2851130;917068720
3;10;841746159;2952610;946863917
3;11;866890940;2693708;1824077222
3;12;835755323;2772908;929847089
3;13;844194467;2885981;949006089
3;14;859098738;2762223;958828916
3;15;845820831;2907912;969906511
3;16;833196954;2905188;1616960745
3;17;866523986;2764108;1935395421
3;18;849769167;2849874;992543117
3;19;845387404;2911473;972286072
3;20;833829048;2835626;985140151
3;21;844575817;2709981;1487347274
3;22;827323063;2801543;1011103855
3;23;851772866;2985436;990837662
3;24;848819543;2914966;1250298711
3;25;865330975;2914267;997418527


THREAD; REPETITION; AVERAGE; MIN; MAX (nanoseconds)
4;1;701284148;2474198;933377915
4;2;709867378;2622540;918013393
4;3;712718519;2719619;858111087
4;4;704711464;2718433;817196809
4;5;710671038;2371949;888087034
4;6;707455302;2344433;898193974
4;7;705268938;2470007;916644923
4;8;716887934;2680090;849919473
4;9;713764376;2611435;854149968
4;10;693406412;2474546;871823165
4;11;691133493;2342058;930968042
4;12;690161579;2308603;849048692
4;13;702231141;2728978;841127015
4;14;696745495;2293588;827071039
4;15;687884459;2328299;821659596
4;16;687302442;2325435;838219871
4;17;691919442;2343664;935461001
4;18;700278076;2592648;846862171
4;19;687344011;2676877;853782533
4;20;686605423;2497524;812739049
4;21;686272644;2462324;913882560
4;22;700229807;2549486;904503226
4;23;694319204;2693429;904884489
4;24;686587279;2744064;850794584
4;25;700173763;2698457;828093934


THREAD; REPETITION; AVERAGE; MIN; MAX (nanoseconds)
5;1;593689414;2266000;791799097
5;2;609569951;2393251;803970617
5;3;608875037;2421118;723815038
5;4;608628991;2672895;781325699
5;5;602801687;2329346;781806766
5;6;598326222;2313702;779356105
5;7;592325323;2261670;844556291
5;8;598588463;2460299;724333680
5;9;588952562;2447587;748691104
5;10;603488709;2468679;775549896
5;11;594526174;2408756;844612025
5;12;607313879;2445213;947083498
5;13;616169795;2476432;778177744
5;14;608165539;2513867;747778209
5;15;604407645;2387315;739528627
5;16;602582531;2463581;758859505
5;17;608287773;2419372;724268726
5;18;622316040;2612133;810832312
5;19;638739622;2398699;810495119
5;20;617326226;2227727;748193276
5;21;612937685;2346876;850823150
5;22;612120903;2347994;855756248
5;23;606796284;2323968;735789814
5;24;605724842;2597607;718703634
5;25;611274080;2297499;765943018


THREAD; REPETITION; AVERAGE; MIN; MAX (nanoseconds)
6;1;584347648;2376350;713843799
6;2;583413905;2242045;683876443
6;3;575233274;2252172;765112326
6;4;581579182;2398419;692746285
6;5;577178366;2231010;711764694
6;6;578714358;2241975;678744855
6;7;577514538;2380260;713389621
6;8;576176532;2362870;723384466
6;9;570027528;2406172;685646360
6;10;572415670;2336959;736333389
6;11;587266977;2290515;852899391
6;12;589517481;2181911;764387024
6;13;582641458;2249238;772895997
6;14;581623841;2248121;693862069
6;15;576275189;2334445;691099358
6;16;586735632;2314401;774223889
6;17;580415500;2296172;711006008
6;18;574655112;2301480;700136260
6;19;577131380;2204680;688684665
6;20;580210093;2242604;659270942
6;21;572551103;2305111;703857962
6;22;576413532;2369296;743982406
6;23;564143645;2176953;706035683
6;24;578678709;2280806;750483371
6;25;572879534;2258667;707935226


THREAD; REPETITION; AVERAGE; MIN; MAX (nanoseconds)
7;1;470008269;2241625;605474509
7;2;482194985;2292121;658771505
7;3;513247740;2327880;651158178
7;4;483035859;2140984;640697631
7;5;475157532;2248819;711208338
7;6;482576794;2300152;676034245
7;7;489113679;2309512;664494719
7;8;488329478;2198533;629268943
7;9;522848701;2319778;697930812
7;10;486882957;2305600;674901838
7;11;477666744;2242534;627232651
7;12;497252351;2271308;631478582
7;13;492185752;2245048;656807150
7;14;488777287;2313493;656754560
7;15;489566722;2276686;628420093
7;16;481783451;2363499;809090471
7;17;474679172;2282832;638038285
7;18;500358832;2304622;650589879
7;19;486994467;2254476;715545342
7;20;474002244;2351207;656341588
7;21;486751372;2324457;664137132
7;22;493366846;2303575;636745662
7;23;504682495;2280038;640528614
7;24;498997462;2310279;696743999
7;25;466894610;2330255;615720364


THREAD; REPETITION; AVERAGE; MIN; MAX (nanoseconds)
8;1;429214243;2250775;763780243
8;2;425659702;2328718;670998549
8;3;425719695;2356375;657206433
8;4;476285757;2270750;638344958
8;5;487222636;2276686;628227470
8;6;444244670;2312934;698981854
8;7;416261136;2275499;780142378
8;8;445032019;2310419;622256809
8;9;457122085;2380679;633603782
8;10;454018066;2270890;614930459
8;11;512532589;2274312;626701997
8;12;489291792;2381029;760149893
8;13;487535069;2264464;645116558
8;14;443828151;2240998;650829994
8;15;455545078;2269842;650443352
8;16;438613372;2325854;742562113
8;17;478028588;2284997;644905638
8;18;449143776;2317333;681927103
8;19;460154397;2201118;603004013
8;20;421067401;2265721;611631367
8;21;467248740;2170318;628806384
8;22;482045139;2372858;639019903
