THREADS; TOTAL MESSAGES; AVERAGE MESSAGES; TOTAL WORK-UNITS; AVERAGE WORK-UNITS 
1;442634;17705;8914601;356584
2;449964;17998;9000000;360000
3;450000;18000;9000000;360000
4;450000;18000;9000000;360000
5;450000;18000;9000000;360000
6;449999;17999;9000000;360000
7;450000;18000;9000000;360000
8;450000;18000;9000000;360000
9;450000;18000;9000000;360000
10;450000;18000;9000000;360000
11;450000;18000;9000000;360000
12;450000;18000;9000000;360000
13;449999;17999;9000000;360000
14;450000;18000;9000000;360000
15;450000;18000;9000000;360000
16;450000;18000;9000000;360000
17;450000;18000;9000000;360000
18;450000;18000;9000000;360000
19;450000;18000;9000000;360000
20;450000;18000;9000000;360000
21;450000;18000;9000000;360000
22;450000;18000;9000000;360000
23;450000;18000;9000000;360000
24;450000;18000;9000000;360000
25;450000;18000;9000000;360000
26;450000;18000;9000000;360000
27;450000;18000;9000000;360000
28;450000;18000;9000000;360000
29;450000;18000;9000000;360000
30;450000;18000;9000000;360000
31;450000;18000;9000000;360000
32;450000;18000;9000000;360000
33;450000;18000;9000000;360000
34;450000;18000;9000000;360000
35;450000;18000;9000000;360000
36;450000;18000;9000000;360000
37;450000;18000;9000000;360000
38;450000;18000;9000000;360000
39;450000;18000;9000000;360000
40;450000;18000;9000000;360000
41;450000;18000;9000000;360000
42;450000;18000;9000000;360000
43;450000;18000;9000000;360000
44;450000;18000;9000000;360000
45;450000;18000;9000000;360000
46;450000;18000;9000000;360000
47;449999;17999;9000000;360000
48;449999;17999;9000000;360000
49;450000;18000;9000000;360000
50;450000;18000;9000000;360000
THREADS; MESSAGES; WORK-UNITS
1;17703;355545
1;17706;356745
1;17704;356809
1;17706;357010
1;17706;356264
1;17705;356361
1;17706;356377
1;17706;356622
1;17706;357203
1;17706;356912
1;17706;356378
1;17706;356243
1;17705;356994
1;17705;356951
1;17705;356504
1;17706;356623
1;17706;356783
1;17706;356645
1;17705;356865
1;17706;356904
1;17706;356007
1;17706;355492
1;17706;356396
1;17704;357216
1;17702;356752


THREADS; MESSAGES; WORK-UNITS
2;18000;360000
2;18000;360000
2;18000;360000
2;18000;360000
2;18000;360000
2;18000;360000
2;18000;360000
2;18000;360000
2;18000;360000
2;18000;360000
2;18000;360000
2;18000;360000
2;18000;360000
2;18000;360000
2;18000;360000
2;18000;360000
2;18000;360000
2;18000;360000
2;18000;360000
2;18000;360000
2;18000;360000
2;18000;360000
2;18000;360000
2;18000;360000
2;17964;360000


THREADS; MESSAGES; WORK-UNITS
3;18000;360000
3;18000;360000
3;18000;360000
3;18000;360000
3;18000;360000
3;18000;360000
3;18000;360000
3;18000;360000
3;18000;360000
3;18000;360000
3;18000;360000
3;18000;360000
3;18000;360000
3;18000;360000
3;18000;360000
3;18000;360000
3;18000;360000
3;18000;360000
3;18000;360000
3;18000;360000
3;18000;360000
3;18000;360000
3;18000;360000
3;18000;360000
3;18000;360000


THREADS; MESSAGES; WORK-UNITS
4;18000;360000
4;18000;360000
4;18000;360000
4;18000;360000
4;18000;360000
4;18000;360000
4;18000;360000
4;18000;360000
4;18000;360000
4;18000;360000
4;18000;360000
4;18000;360000
4;18000;360000
4;18000;360000
4;18000;360000
4;18000;360000
4;18000;360000
4;18000;360000
4;18000;360000
4;18000;360000
